id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:30,200,,"President Joe Biden called on Congress to pass billions of dollars in additional funding to fight the #COVID19 pandemic on Wednesday, as he received a second booster dose of the Pfizer vaccine.  https://t.co/IpFE6l4Hnt",en,['covid19'],[],1.40088E+18,1.40088E+18,SpecNewsMaine,Spectrum News Maine,3,22,https://twitter.com/SpecNewsMaine/status/1509266758540140554,['http://specne.ws/98SFMo'],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:30,200,,"We've updated our vaccine clinic schedules through Thurs 4/7, including a pediatric Pfizer clinic on Weds 4/6. Testing will be available in Denton Plaza from 9AM to 12PM on Tues 4/5 &amp; Thurs 4/7. Testing is free, but appointments are required. Register at  https://t.co/k8FlQCbdgF",en,[],[],1.44828E+18,1.44828E+18,CarolineCoHD,CarolineCountyHealth,3,22,https://twitter.com/CarolineCoHD/status/1509266738155823112,['https://www.carolinecovid19.org/'],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:28,200,,"If you believe that Will Smith incident is real like cmon bru. Stand for something or fall for anything. Pfizer literally sponsored the event while they’re developing a new vaccine for alopecia, literally what the joke was revolved around. Everything is about pushing an agenda.",en,[],[],1300814538,1300814538,Mark_siegel_5,mark siegel,3,22,https://twitter.com/Mark_siegel_5/status/1509266347120893954,[],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.509E+18,1.64867E+12,3/30/2022 22:28,200,,@RisinMo @AngryCardio @JakeAnbinder That's not controlled data.  That will overlap with the case waves prevalent at the time of vaccine rollout.  I showed you the controlled data from Pfizer clinical trials that completely negates your false claim.  Sorry.,en,[],[],1.0123E+18,1.0123E+18,BiotechObserver,BiotechObserver,3,22,https://twitter.com/BiotechObserver/status/1509266338363105280,[],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,"[{'screen_name': 'RisinMo', 'name': 'MoJoeRisin', 'id': '1465704264471175178'}, {'screen_name': 'AngryCardio', 'name': 'Angry Cardiologist', 'id': '2224329722'}, {'screen_name': 'JakeAnbinder', 'name': 'Jake Anbinder', 'id': '1537100460'}]",,,,
1.50927E+18,1.50915E+18,1.64867E+12,3/30/2022 22:28,200,,"@pfizer Since the Covid-19 vaccines, I have experienced several severe focused migraines. Have there been similar experiences by other recipients?",en,[],[],1.44362E+18,1.44362E+18,vg8dtf26qb,Nivi Iphone,3,22,https://twitter.com/vg8dtf26qb/status/1509266222277443588,[],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,"[{'screen_name': 'pfizer', 'name': 'Pfizer Inc.', 'id': '56488059'}]",,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:27,200,,"Thanks for all the RT's and new followers,due to you sharing this post you are helping raise awareness of vaccine deaths and injuries.  And we are top trending 1st &amp; 2nd #Pfizer  Keep it going",en,['pfizer'],[],1.46141E+18,1.46141E+18,vaxreports1,Vaccine Reports,3,22,https://twitter.com/vaxreports1/status/1509266077984903175,[],[],0,,FALSE,9,2,7,https://twitter.com/vaxreports1/status/1509095876056264706,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.50927E+18,1.64867E+12,3/30/2022 22:26,200,,"Imperative RCMP, police or national forensic lab test Germany’s Pfizer-BioNTech vaccine – NCIO  https://t.co/pn0zTZu9R3",en,[],[],1.32949E+18,1.32949E+18,David58889643,David wick,3,22,https://twitter.com/David58889643/status/1509265910103613440,['http://ncio.ca/briefings/index.php/2021/07/10/imperative-rcmp-police-or-national-forensic-lab-test-germanys-pfizer-biontech-vaccine/'],[],0,,FALSE,0,0,0,,pfizer vaccine,,,,,,,[],,,,
1.50927E+18,1.509E+18,1.64867E+12,3/30/2022 22:25,200,,"@DrEricDing Can you switch vaccines on your second booster, too? So if you've had 2 Pfizer shots, and a Pfizer booster, can you get a second Moderna booster?",en,[],[],147690107,147690107,sarahgleim,Sarah Gleim 😷🇺🇦🌻,3,22,https://twitter.com/sarahgleim/status/1509265475879981066,[],[],0,,FALSE,1,1,0,,pfizer vaccine,,,,,,,"[{'screen_name': 'DrEricDing', 'name': 'Eric Feigl-Ding', 'id': '18831926'}]",,,,
1.50926E+18,1.50926E+18,1.64867E+12,3/30/2022 22:23,200,,Ah oui dans le minimum faut rajouter vacciné 3 doses pfizer sinon y'a même de muqabala,fr,[],[],1.14429E+18,1.14429E+18,abou_hureira1,Barba'Abou,3,22,https://twitter.com/abou_hureira1/status/1509264987692441608,[],[],0,,FALSE,5,1,0,,pfizer vaccine,,,,,,,[],,,,
1.50926E+18,1.50926E+18,1.64867E+12,3/30/2022 22:21,200,,WATCH: President Biden called on Congress to pass billions of dollars in additional funding to fight the COVID pandemic as he received a second booster dose of the Pfizer vaccine a day after federal regulators approved a fourth shot for those 50 and older.  https://t.co/gbV5H4tHRQ,en,[],[],14437914,14437914,NewsHour,PBS NewsHour,3,22,https://twitter.com/NewsHour/status/1509264452851585027,['https://to.pbs.org/3JShxVy'],[],0,,FALSE,26,0,5,,pfizer vaccine,,,,,,,[],,,,
